r_aux,id,title,author1,author_gender,category,frmt1,frmt2
30581,SvB_BS_280,Strandcaféet,"Diamond, Lucy",F,OTHER,pb,sell
30539,SvB_BS_268,Syndabocken,"Sarenbrant, Sofie",F,CRIME,both,both
30509,SvB_BS_290,Jag ser dig,"Jungstedt, Mari",F,CRIME,hb,sell
30506,bstream_036,Domaren,"Öhrlund, Dag",M,CRIME,no,strm
30414,SvB_BS_158,VIP-rummet,"Lapidus, Jens",M,CRIME,hb,sell
30309,SvB_BS_181,Sista brevet från din älskade,"Moyes, Jojo",F,OTHER,pb,sell
30148,SvB_BS_269,En högre rättvisa,"Hjorth, Michael",M,CRIME,hb,both
30118,SvB_BS_168,Bombmakaren och hans kvinna,"Persson, Leif GW",M,CRIME,hb,both
29992,SvB_BS_179,Konsten att höra hjärtslag,"Sendker, Jan-Philipp",M,OTHER,pb,sell
29860,SvB_BS_180,Etthundra mil,"Moyes, Jojo",F,OTHER,pb,sell
29839,bstream_045,Under nio nätter,"Rudberg, Denise",F,CRIME,no,strm
29772,SvB_BS_292,Broder Jakob,"Schepp, Emelie",F,CRIME,hb,both
29626,SvB_BS_308,På egen hand,"Keyes, Marian",M,OTHER,pb,sell
29544,SvB_BS_173,Det är något som inte stämmer,"Haag, Martina",F,OTHER,both,both
29505,SvB_BS_247,Kvinnan på tåget,"Hawkins, Paula",F,CRIME,pb,sell
29370,bstream_038,Änglabarnet,"Kant, Johan",M,CRIME,no,strm
29343,SvB_BS_260,Jul i det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
29332,SvB_BS_277,Ensam i Paris och andra historier,"Moyes, Jojo",F,OTHER,pb,sell
29276,SvB_BS_210,Arton grader minus,"Ahnhem, Stefan",M,CRIME,pb,sell
29210,bstream_035,Se till mig som liten är,"Öhrlund, Dag",M,CRIME,no,strm
28970,bstream_008,En mörkare himmel : Gran Canaria,"Jungstedt, Mari",2,CRIME,no,strm
28916,SvB_BS_191,Den stumma flickan,"Hjorth, Michael",M,CRIME,pb,sell
28901,SvB_BS_285,Pappas pojke,"Schepp, Emelie",F,CRIME,pb,both
28819,bstream_003,Hämnaren,"Buthler, Dan",M,CRIME,no,strm
28806,SvB_BS_184,Lotus blues,"Ohlsson, Kristina",F,CRIME,pb,sell
28767,bstream_044,Ingen lämnas kvar,"Öhrlund, Dag",M,CRIME,no,strm
28762,bstream_011,Kärlek sökes,"Hjulström, Carin",F,OTHER,no,strm
28704,bstream_021,Sov du lilla videung,"Börjlind, Rolf",2,CRIME,no,strm
28682,bstream_040,Ondskans ansikte,"Ahlstedt, Mats",M,CRIME,no,strm
28666,SvB_BS_287,En bur av guld,"Läckberg, Camilla",F,CRIME,hb,both
28606,SvB_BS_248,Det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
28501,SvB_BS_306,Motiv X,"Ahnhem, Stefan",M,CRIME,pb,sell
28451,SvB_BS_254,Top Dogg,"Lapidus, Jens",M,CRIME,hb,both
28390,bstream_034,Nådastöten,"Larsson, Christina",F,CRIME,no,strm
28291,SvB_BS_259,Sommar på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
28284,bstream_015,Prio ett,"Schepp, Emelie",F,CRIME,no,strm
28187,SvB_BS_262,Till minne av en villkorslös kärlek,"Gardell, Jonas",M,OTHER,hb,sell
28136,SvB_BS_274,Den lilla bokhandeln runt hörnet,"Colgan, Jenny",F,OTHER,pb,sell
28104,SvB_BS_163,Jag heter inte Miriam,"Axelsson, Majgull",F,OTHER,both,sell
28103,SvB_BS_265,En andra chans,"Moyes, Jojo",F,OTHER,both,both
28063,bstream_016,Svart stjärna - S1E1,"Ersgård, Jesper",M,OTHER,no,strm
27934,SvB_BS_266,Ett mörker mitt ibland oss,"Jungstedt, Mari",F,CRIME,both,both
27917,bstream_028,Prästens lilla flicka,"Casserfelt, Susan",F,CRIME,no,strm
27895,SvB_BS_172,STHLM Delete,"Lapidus, Jens",M,CRIME,both,both
27795,SvB_BS_304,Sommar på den lilla ön i havet,"Colgan, Jenny",F,OTHER,pb,sell
27790,SvB_BS_244,Min fantastiska väninna,"Ferrante, Elena",F,OTHER,both,sell
27758,SvB_BS_195,Äkta amerikanska jeans,"Guillou, Jan",M,OTHER,hb,sell
27737,bstream_025,Uppståndelsen,"Buthler, Dan",M,CRIME,no,strm
27731,SvB_BS_291,Kniv,"Nesbø, Jo",M,CRIME,hb,sell
27660,SvB_BS_165,De underkända,"Hjorth, Michael",M,CRIME,hb,both
27645,bstream_024,Tryggare kan ingen vara,"Öhrlund, Dag",M,CRIME,no,strm
27613,bstream_046,Snödrev,"Tursten, Helene",F,CRIME,no,strm
27593,SvB_BS_201,Snövit ska dö,"Neuhaus, Nele",F,CRIME,pb,sell
27569,bstream_020,Välkommen hem,"Schulman, Ninni",F,CRIME,no,strm
27125,SvB_BS_166,Blå stjärnan,"Guillou, Jan",M,OTHER,hb,sell
27064,SvB_BS_199,Det andra ansiktet,"Jungstedt, Mari",F,CRIME,both,both
26766,SvB_BS_176,Arvet efter dig,"Moyes, Jojo",F,OTHER,both,both
26603,SvB_BS_296,Folk med ångest,"Backman, Fredrik",M,OTHER,hb,sell
26554,SvB_BS_190,Jakthundarna,"Lier Horst, Jørn",M,CRIME,pb,sell
26534,bstream_050,Morden på Mörkö,"Karlsson, Samuel",M,CRIME,no,strm
26518,SvB_BS_303,Tatueraren i Auschwitz,"Morris, Heather",F,OTHER,pb,sell
26392,SvB_BS_216,Björnstad,"Backman, Fredrik",M,OTHER,pb,sell
26329,SvB_BS_294,Bergens stjärnor,"Moyes, Jojo",F,OTHER,hb,sell
26328,bstream_049,Trojanen,"Ahlstedt, Mats",M,CRIME,no,strm
26211,SvB_BS_203,De oroliga,"Ullmann, Linn",F,PRESTIGE,hb,sell
26022,SvB_BS_257,Det förlovade landet,"Jungstedt, Mari",F,CRIME,both,both
26015,bstream_007,Skymningsflickan,"Wennstam, Katarina",F,CRIME,no,strm
25889,bstream_002,"Falleri, fallera, falleralla","Gerhardsen, Carin",F,CRIME,no,strm
25831,SvB_BS_275,Silvervägen,"Jackson, Stina",F,CRIME,pb,both
25811,SvB_BS_272,Vardagar,"Lundell, Ulf",M,OTHER,hb,sell
25716,SvB_BS_171,Allt jag inte minns,"Khemiri, Jonas Hassen",M,PRESTIGE,both,sell
25625,bstream_012,Där inga ögon ser,"Öhrlund, Dag",M,CRIME,no,strm
25488,bstream_022,Den hemliga kvinnan,"Ekberg, Anna",F,CRIME,no,strm
25343,SvB_BS_205,Kvinna inför rätta,"Doughty, Louise",F,CRIME,pb,sell
25317,SvB_BS_213,Hjärtats innersta röst,"Sendker, Jan-Philipp",M,OTHER,pb,sell
25277,SvB_BS_188,I skymningen sjunger koltrasten,"Olsson, Linda",F,OTHER,pb,sell
25225,SvB_BS_161,Sonen,"Nesbø, Jo",M,CRIME,both,sell
25160,SvB_BS_250,Begynnelse,"Brown, Dan",M,CRIME,both,sell
24942,SvB_BS_255,Törst,"Nesbø, Jo",M,CRIME,hb,both
24888,bstream_029,Den tatuerade cirkeln,"Casserfelt, Susan",F,CRIME,no,strm
24851,bstream_004,Vita spår,"Schepp, Emelie",F,CRIME,no,strm
24822,SvB_BS_175,Järnblod,"Marklund, Liza",F,CRIME,both,both
24682,SvB_BS_289,Den andra dödssynden,"Guillou, Jan",M,OTHER,hb,sell
24513,bstream_006,Den gränslöse,"Adler-Olsen, Jussi",M,CRIME,no,strm
24429,SvB_BS_264,De som dödar drömmar sover aldrig,"Guillou, Jan",M,OTHER,hb,sell
24397,SvB_BS_270,De vänsterhäntas förening,"Nesser, Håkan",M,CRIME,both,sell
24306,SvB_BS_278,Husdjuret,"Grebe, Camilla",F,CRIME,pb,sell
24264,SvB_BS_187,Stoner,"Williams, John",M,OTHER,pb,sell
24040,SvB_BS_208,1968,"Guillou, Jan",M,OTHER,hb,sell
24030,SvB_BS_301,En helt vanlig familj,"Edvardsson, Mattias",M,CRIME,pb,both
23998,SvB_BS_300,Jag for ner till bror,"Smirniff, Karin",F,PRESTIGE,pb,sell
23963,SvB_BS_282,Blodlokan,"Boije af Gennäs, Louise",F,CRIME,pb,sell
23961,SvB_BS_167,Det som inte dödar oss,"Lagercrantz, David",M,CRIME,both,both
23931,SvB_BS_204,I varje ögonblick är vi fortfarande vid liv,"Malmquist, Tom",M,PRESTIGE,pb,sell
23620,SvB_BS_169,Britt-Marie var här,"Backman, Fredrik",M,OTHER,both,sell
23404,SvB_BS_170,Mördar-Anders och hans vänner samt en och annan ovän,"Jonasson, Jonas",M,OTHER,both,both
23362,SvB_BS_215,De kommer att drunkna i sina mödrars tårar,"Anyuru, Johannes",M,PRESTIGE,hb,sell
23271,SvB_BS_258,Selfies,"Adler-Olsen, Jussi",M,CRIME,hb,both
22966,SvB_BS_298,Hundraettåringen som tänkte att han tänkte för mycket,"Jonasson, Jonas",M,OTHER,hb,sell
22909,SvB_BS_177,Björndansen,"Roslund, Anders",M,CRIME,hb,sell
22767,SvB_BS_196,Simma med de drunknade,"Mytting, Lars",M,OTHER,pb,sell
22690,bstream_039,Skuggorna ruva,"Moström, Jonas",M,CRIME,no,strm
22675,SvB_BS_202,Glöm mig,"Schulman, Alex",M,OTHER,both,sell
22675,bstream_005,Dominodöden,"Moström, Jonas",M,CRIME,no,strm
22511,bstream_027,Trogen intill döden,"Moström, Jonas",M,CRIME,no,strm
22020,SvB_BS_249,Mannen som sökte sin skugga,"Lagercrantz, David",M,CRIME,hb,both
21704,SvB_BS_271,Tre timmar,"Roslund, Anders",M,CRIME,both,sell
21477,SvB_BS_261,Lazarus,"Kepler, Lars",2,CRIME,hb,both
21448,SvB_BS_263,Bränn alla mina brev,"Schulman, Alex",M,OTHER,both,both
21263,bstream_018,Midnattsflickor,"Moström, Jonas",M,CRIME,no,strm
21127,SvB_BS_299,Jamåhonleva,"Roslund, Anders",M,CRIME,hb,sell
21007,SvB_BS_273,1793,"Natt och Dag, Niklas",M,CRIME,pb,sell
21003,SvB_BS_286,Hon som måste dö,"Lagercrantz, David",M,CRIME,hb,both
20937,SvB_BS_192,Tre minuter,"Roslund, Anders",M,CRIME,hb,sell
20245,SvB_BS_209,Slutet på sommaren,"Motte, Anders de la",M,CRIME,pb,sell
20152,SvB_BS_281,Kvinnan i fönstret,"Finn, A.J.",M,CRIME,pb,sell
19944,SvB_BS_155,Stalker,"Kepler, Lars",2,CRIME,both,both
19825,SvB_BS_288,1794,"Natt och Dag, Niklas",M,CRIME,hb,sell
19400,SvB_BS_293,Löparna,"Tokarczuk, Olga",F,PRESTIGE,hb,sell
18766,SvB_BS_193,Kaninjägaren,"Kepler, Lars",2,CRIME,both,both
18417,SvB_BS_174,Playground,"Kepler, Lars",2,CRIME,hb,sell
18067,SvB_BS_284,Höstdåd,"Motte, Anders de la",M,CRIME,pb,sell
16780,SvB_BS_197,Ljuset vi inte ser,"Doerr, Anthony",M,OTHER,pb,sell
